ID,racial_group,callback
553,African American,No
554,White,No
555,White,No
556,White,No
557,African American,No
558,African American,No
559,White,No
560,White,No
561,White,No
562,African American,No
563,White,No
564,White,No
565,White,Yes
566,African American,No
567,White,No
568,African American,No
569,White,Yes
570,White,No
571,White,No
572,African American,No
573,White,No
574,White,No
575,African American,No
576,African American,No
577,White,No
578,African American,No
579,White,No
580,White,No
581,White,No
582,African American,No
583,African American,No
584,African American,No
585,African American,No
586,White,No
587,African American,Yes
588,African American,No
589,White,No
590,African American,No
591,African American,No
592,African American,Yes
593,White,No
594,African American,No
595,White,No
596,White,Yes
597,African American,No
598,White,Yes
599,African American,No
600,White,No
601,White,No
602,African American,No
603,African American,No
604,African American,Yes
605,African American,No
606,African American,No
607,White,No
608,White,No
609,White,No
610,White,No
611,African American,No
612,African American,No
613,African American,No
614,White,No
615,White,No
616,African American,No
617,White,No
618,White,No
619,White,No
620,White,No
621,White,Yes
622,African American,No
623,White,No
624,White,No
625,African American,No
626,African American,No
627,African American,No
628,White,No
629,African American,No
630,African American,No
631,White,No
632,White,No
633,White,No
634,African American,No
635,African American,No
636,White,No
637,African American,No
638,White,No
639,African American,No
640,African American,No
641,African American,No
642,African American,No
643,African American,No
644,African American,No
645,White,No
646,African American,No
647,White,Yes
648,African American,Yes
649,African American,No
650,African American,No
651,White,No
652,African American,No
653,African American,No
654,African American,No
655,African American,No
656,White,No
657,African American,No
658,White,No
659,African American,No
660,White,No
661,White,Yes
662,African American,No
663,White,No
664,African American,No
665,African American,No
666,White,No
667,White,No
668,African American,No
669,White,No
670,White,No
671,African American,No
672,White,No
673,White,No
674,White,No
675,African American,No
676,African American,No
677,African American,No
678,White,No
679,African American,No
680,White,No
681,White,No
682,African American,No
683,African American,No
684,White,No
685,African American,No
686,African American,No
687,African American,Yes
688,African American,No
689,White,No
690,White,No
691,African American,No
692,African American,No
693,White,No
694,African American,No
695,White,No
696,White,No
697,African American,No
698,White,Yes
699,African American,No
700,White,No
701,African American,No
702,African American,No
703,White,Yes
704,White,No
705,White,No
706,African American,No
707,African American,No
708,White,No
709,African American,No
710,African American,No
711,African American,No
712,African American,No
713,White,No
714,African American,No
715,White,No
716,African American,No
717,African American,No
718,White,No
719,White,No
720,African American,No
721,White,No
722,African American,No
723,White,No
724,White,No
725,White,Yes
726,White,No
727,African American,No
728,African American,No
729,African American,Yes
730,White,No
731,African American,No
732,White,No
733,White,No
734,African American,No
735,White,No
736,White,No
737,White,No
738,African American,No
739,African American,No
740,African American,Yes
741,African American,Yes
742,African American,No
743,African American,No
744,African American,No
745,White,No
746,White,No
747,White,No
748,White,No
749,African American,No
750,African American,No
751,African American,No
752,White,No
753,African American,No
754,White,No
755,White,No
756,African American,No
757,African American,No
758,African American,No
759,African American,Yes
760,White,No
761,White,No
762,African American,No
763,African American,No
764,White,No
765,African American,No
766,African American,No
767,African American,Yes
768,African American,Yes
769,African American,No
770,White,No
771,African American,No
772,African American,No
773,White,No
774,White,No
775,White,No
776,African American,No
777,White,Yes
778,White,No
779,African American,No
780,White,No
781,African American,No
782,African American,No
783,White,No
784,White,No
785,African American,No
786,White,No
787,White,No
788,African American,No
789,White,No
790,White,No
791,White,No
792,African American,No
793,African American,No
794,White,No
795,White,No
796,White,Yes
797,White,No
798,African American,No
799,White,No
800,White,No
801,White,No
802,African American,No
803,White,No
804,White,No
805,White,No
806,African American,No
807,White,Yes
808,White,No
809,African American,No
810,African American,No
811,White,No
812,White,No
813,White,No
814,African American,No
815,White,Yes
816,White,No
817,White,No
818,African American,No
819,White,No
820,White,No
821,White,No
822,African American,No
823,White,No
824,White,No
825,African American,No
826,African American,No
827,White,No
828,White,No
829,White,No
830,White,No
831,African American,No
832,African American,Yes
833,White,No
834,White,No
835,White,No
836,African American,No
837,African American,No
838,African American,No
839,White,No
840,White,No
841,White,No
842,African American,No
843,African American,No
844,African American,No
845,White,Yes
846,African American,No
847,White,No
848,African American,No
849,African American,No
850,White,No
851,White,No
852,African American,No
853,White,No
854,African American,No
855,African American,No
856,White,No
857,African American,No
858,African American,No
859,African American,No
860,African American,No
861,African American,No
862,African American,No
863,White,No
864,African American,Yes
865,African American,No
866,African American,No
867,White,No
868,White,No
869,White,No
870,African American,No
871,African American,No
872,African American,Yes
873,White,No
874,African American,No
875,African American,No
876,White,No
877,White,Yes
878,African American,No
879,African American,No
880,African American,No
881,White,No
882,White,No
883,African American,No
884,African American,No
885,White,No
886,African American,No
887,African American,No
888,White,No
889,African American,No
890,White,No
891,African American,No
892,African American,No
893,African American,No
894,African American,No
895,White,No
896,African American,No
897,White,No
898,White,Yes
899,White,No
900,White,No
901,African American,No
902,African American,No
903,White,No
904,White,No
905,White,Yes
906,White,No
907,White,No
908,African American,No
909,African American,No
910,African American,No
911,White,No
912,White,No
913,African American,No
914,African American,No
915,White,Yes
916,African American,Yes
917,White,No
918,African American,No
919,White,No
920,African American,No
921,African American,No
922,White,No
923,African American,No
924,White,Yes
925,White,No
926,African American,Yes
927,African American,No
928,White,No
929,White,No
930,African American,No
931,White,No
932,White,No
933,African American,No
934,African American,No
935,African American,No
936,African American,No
937,White,No
938,White,No
939,White,No
940,White,No
941,White,No
942,African American,No
943,White,No
944,African American,No
945,White,No
946,White,No
947,African American,Yes
948,African American,No
949,African American,Yes
950,White,No
951,African American,No
952,White,No
953,African American,No
954,African American,No
955,White,No
956,White,No
957,White,Yes
958,White,No
959,White,No
960,African American,No
961,White,No
962,White,No
963,African American,No
964,African American,No
965,White,No
966,African American,No
967,White,No
968,African American,No
969,African American,No
970,African American,No
971,White,No
972,White,No
973,African American,No
974,African American,No
975,African American,No
976,African American,No
977,White,No
978,African American,No
979,African American,No
980,African American,No
981,African American,No
982,White,No
983,White,Yes
984,White,No
985,African American,No
986,White,No
987,African American,Yes
988,White,No
989,African American,No
990,White,No
991,African American,No
992,African American,No
993,African American,No
994,African American,No
995,White,No
996,White,No
997,White,No
998,White,No
999,African American,No
1000,White,No
1001,White,No
1002,White,Yes
1003,African American,No
1004,African American,No
1005,White,Yes
1006,African American,No
1007,White,No
1008,White,No
1009,African American,No
1010,White,No
1011,White,No
1012,White,No
1013,African American,No
1014,White,No
1015,African American,No
1016,African American,No
1017,White,No
1018,White,No
1019,White,No
1020,African American,No
1021,African American,No
1022,White,Yes
1023,White,No
1024,White,No
1025,White,No
1026,African American,No
1027,White,No
1028,White,No
1029,African American,No
1030,African American,No
1031,African American,No
1032,African American,No
1033,White,No
1034,White,No
1035,White,No
1036,White,No
1037,African American,No
1038,African American,Yes
1039,White,Yes
1040,White,No
1041,African American,No
1042,White,No
1043,African American,No
1044,White,No
1045,White,No
1046,White,No
1047,White,No
1048,African American,No
1049,White,No
1050,African American,No
1051,African American,No
1052,African American,No
1053,White,No
1054,White,No
1055,African American,No
1056,White,No
1057,White,No
1058,African American,No
1059,African American,No
1060,White,No
1061,African American,No
1062,White,No
1063,African American,No
1064,White,No
1065,White,No
1066,African American,No
1067,African American,No
1068,African American,Yes
1069,African American,No
1070,African American,No
1071,White,No
1072,African American,No
1073,African American,Yes
1074,African American,No
1075,White,No
1076,African American,No
1077,African American,No
1078,African American,No
1079,African American,No
1080,African American,No
1081,African American,No
1082,African American,No
1083,White,No
1084,African American,No
1085,African American,No
1086,African American,No
1087,African American,No
1088,White,No
1089,White,Yes
1090,White,No
1091,African American,No
1092,White,No
1093,White,Yes
1094,African American,No
1095,White,No
1096,White,No
1097,White,No
1098,African American,No
1099,African American,No
1100,White,No
1101,African American,No
1102,African American,No
1103,African American,No
1104,African American,No
1105,White,No
1106,White,No
1107,African American,No
1108,White,No
1109,White,Yes
1110,African American,No
1111,African American,No
1112,White,No
1113,White,Yes
1114,African American,No
1115,White,No
1116,White,No
1117,African American,No
1118,White,No
1119,African American,No
1120,African American,No
1121,African American,No
1122,White,No
1123,African American,No
1124,White,No
1125,African American,No
1126,White,No
1127,African American,No
1128,White,No
1129,African American,Yes
1130,African American,No
1131,African American,No
1132,African American,No
1133,White,No
1134,White,Yes
1135,African American,No
1136,White,No
1137,White,No
1138,White,No
1139,African American,Yes
1140,African American,No
1141,White,No
1142,White,No
1143,African American,No
1144,White,Yes
1145,African American,No
1146,African American,No
1147,White,No
1148,African American,No
1149,White,No
1150,White,No
1151,African American,No
1152,African American,No
1153,White,No
1154,African American,No
1155,White,No
1156,White,No
1157,African American,No
1158,White,No
1159,African American,No
1160,White,No
1161,White,Yes
1162,White,No
1163,African American,No
1164,African American,No
1165,African American,No
1166,White,No
1167,African American,Yes
1168,African American,No
1169,White,No
1170,White,No
1171,White,No
1172,African American,No
1173,White,No
1174,African American,Yes
1175,White,Yes
1176,White,No
1177,African American,No
1178,African American,No
1179,African American,Yes
1180,White,No
1181,White,No
1182,African American,No
1183,White,No
1184,African American,No
1185,White,No
1186,African American,No
1187,African American,No
1188,African American,No
1189,African American,No
1190,White,No
1191,White,Yes
1192,African American,No
1193,African American,No
1194,White,No
1195,African American,No
1196,African American,No
1197,White,No
1198,African American,Yes
1199,White,No
1200,White,No
1201,White,No
1202,African American,No
1203,White,No
1204,African American,No
1205,African American,No
1206,African American,No
1207,White,No
1208,White,No
1209,White,No
1210,African American,No
1211,White,No
1212,White,No
1213,White,Yes
1214,African American,No
1215,African American,No
1216,African American,No
1217,African American,No
1218,African American,No
1219,White,No
1220,White,No
1221,African American,No
1222,White,No
1223,African American,No
1224,White,No
1225,White,No
1226,African American,Yes
1227,White,Yes
1228,White,No
1229,African American,No
1230,White,No
1231,White,Yes
1232,White,Yes
1233,White,No
1234,White,No
1235,African American,No
1236,African American,No
1237,White,No
1238,White,No
1239,White,No
1240,White,No
1241,White,Yes
1242,African American,No
1243,African American,No
1244,African American,No
1245,African American,No
1246,African American,No
1247,White,No
1248,White,No
1249,White,Yes
1250,White,No
1251,White,No
1252,African American,No
1253,African American,No
1254,White,No
1255,African American,No
1256,African American,No
1257,White,No
1258,African American,No
1259,African American,No
1260,African American,No
1261,White,No
1262,White,Yes
1263,African American,No
1264,White,No
1265,White,No
1266,White,No
1267,White,No
1268,White,No
1269,African American,No
1270,African American,Yes
1271,White,No
1272,White,No
1273,White,No
1274,White,No
1275,White,No
1276,African American,No
1277,White,No
1278,White,No
1279,White,No
1280,White,No
1281,White,No
1282,White,No
1283,African American,No
1284,African American,No
1285,White,No
1286,African American,No
1287,White,No
1288,African American,No
1289,African American,No
1290,African American,Yes
1291,White,No
1292,White,No
1293,White,Yes
1294,African American,No
1295,White,No
1296,White,No
1297,White,No
1298,White,No
1299,African American,No
1300,White,No
1301,White,Yes
1302,African American,No
1303,White,Yes
1304,White,No
1305,African American,No
1306,African American,No
1307,White,No
1308,African American,No
1309,African American,Yes
1310,African American,No
1311,African American,No
1312,White,No
1313,African American,No
1314,African American,No
1315,White,No
1316,African American,No
1317,African American,No
1318,African American,No
1319,White,No
1320,White,No
1321,White,No
1322,White,Yes
1323,White,No
1324,African American,No
1325,African American,No
1326,White,No
1327,African American,No
1328,African American,No
1329,White,No
1330,White,No
1331,African American,No
1332,African American,No
1333,African American,No
1334,White,No
1335,African American,No
1336,White,No
1337,White,No
1338,White,No
1339,African American,No
1340,White,No
1341,White,No
1342,White,No
1343,African American,No
1344,African American,No
1345,White,No
1346,White,No
1347,African American,No
1348,African American,No
1349,African American,No
1350,African American,No
1351,White,No
1352,White,No
1353,African American,Yes
1354,White,Yes
1355,African American,No
1356,African American,No
1357,African American,No
1358,White,No
1359,African American,No
1360,African American,No
1361,White,No
1362,White,Yes
1363,African American,No
1364,African American,No
1365,White,No
1366,White,No
1367,White,No
1368,African American,No
1369,White,No
1370,White,No
1371,White,No
1372,White,No
1373,White,Yes
1374,White,No
1375,African American,No
1376,White,Yes
1377,White,No
1378,White,Yes
1379,White,No
1380,African American,No
1381,African American,No
1382,African American,No
1383,African American,No
1384,African American,No
1385,African American,No
1386,White,No
1387,White,No
1388,African American,No
1389,White,No
1390,White,No
1391,African American,No
1392,White,No
1393,African American,Yes
1394,White,No
1395,White,No
1396,White,No
1397,African American,No
1398,African American,No
1399,African American,No
1400,African American,No
1401,White,No
1402,African American,No
1403,White,No
1404,White,No
1405,White,No
1406,African American,No
1407,White,No
1408,African American,No
1409,White,No
1410,African American,No
1411,African American,No
1412,White,No
1413,African American,No
1414,White,No
1415,African American,No
1416,White,No
1417,White,No
1418,White,No
1419,White,Yes
1420,White,No
1421,African American,No
1422,White,No
1423,African American,No
1424,African American,No
1425,White,No
1426,African American,No
1427,White,No
1428,African American,No
1429,White,No
1430,White,No
1431,African American,No
1432,White,No
1433,White,No
1434,African American,No
1435,White,Yes
1436,African American,No
1437,White,No
1438,White,No
1439,African American,No
1440,White,No
1441,White,No
1442,African American,No
1443,White,No
1444,African American,No
1445,White,No
1446,White,No
1447,White,No
1448,African American,No
1449,White,No
1450,African American,No
1451,White,No
1452,African American,Yes
1453,African American,No
1454,White,No
1455,White,Yes
1456,African American,No
1457,White,Yes
1458,African American,No
1459,African American,No
1460,White,No
1461,White,No
1462,African American,No
1463,African American,No
1464,African American,No
1465,African American,No
1466,African American,No
1467,African American,No
1468,White,No
1469,White,No
1470,White,No
1471,White,Yes
1472,African American,No
1473,African American,No
1474,African American,No
1475,White,No
1476,African American,No
1477,White,No
1478,African American,No
1479,White,No
1480,African American,No
1481,African American,No
1482,African American,No
1483,White,No
1484,African American,No
1485,White,No
1486,African American,No
1487,White,Yes
1488,White,No
1489,African American,No
1490,African American,No
1491,African American,No
1492,White,No
1493,African American,No
1494,White,No
1495,White,No
1496,African American,Yes
1497,White,No
1498,African American,No
1499,White,No
1500,White,No
1501,African American,No
1502,African American,No
1503,White,No
1504,African American,No
1505,White,Yes
1506,White,No
1507,White,No
1508,White,No
1509,White,No
1510,White,No
1511,White,No
1512,White,No
1513,White,Yes
1514,White,No
1515,White,No
1516,African American,No
1517,African American,No
1518,African American,No
1519,African American,No
1520,African American,No
1521,African American,No
1522,African American,No
1523,African American,Yes
1524,White,Yes
1525,African American,No
1526,White,No
1527,White,No
1528,African American,No
1529,African American,No
1530,White,No
1531,African American,No
1532,African American,Yes
1533,African American,No
1534,White,No
1535,African American,No
1536,White,No
1537,White,No
1538,African American,No
1539,African American,No
1540,White,No
1541,White,No
1542,White,No
1543,White,No
1544,White,No
1545,White,No
1546,White,No
1547,White,No
1548,White,No
1549,African American,No
1550,White,No
1551,White,No
1552,African American,Yes
1553,African American,No
1554,White,No
1555,African American,No
1556,African American,No
1557,White,No
1558,White,No
1559,African American,No
1560,African American,No
1561,African American,No
1562,White,No
1563,White,No
1564,African American,No
1565,White,Yes
1566,African American,No
1567,African American,No
1568,White,No
1569,African American,No
1570,White,Yes
1571,African American,No
1572,White,No
1573,White,No
1574,White,No
1575,White,No
1576,White,No
1577,White,No
1578,African American,No
1579,African American,No
1580,African American,No
1581,African American,No
1582,African American,No
1583,African American,No
1584,White,No
1585,White,No
1586,White,No
1587,White,Yes
1588,African American,No
1589,White,No
1590,White,No
1591,White,No
1592,White,No
1593,White,No
1594,African American,No
1595,African American,No
1596,African American,No
1597,White,No
1598,African American,No
1599,African American,No
1600,White,No
1601,White,No
1602,White,No
1603,White,No
1604,White,No
1605,White,No
1606,White,No
1607,African American,No
1608,White,No
1609,White,No
1610,White,No
1611,African American,No
1612,White,No
1613,African American,No
1614,White,No
1615,African American,No
1616,White,No
1617,African American,No
1618,African American,No
1619,African American,No
1620,White,No
1621,White,No
1622,White,No
1623,White,No
1624,African American,No
1625,African American,No
1626,White,No
1627,White,No
1628,White,No
1629,African American,Yes
1630,White,No
1631,African American,No
1632,African American,No
1633,White,No
1634,African American,No
1635,White,No
1636,White,No
1637,White,No
1638,White,No
1639,White,No
1640,White,No
1641,African American,No
1642,White,No
1643,White,No
1644,African American,No
1645,African American,No
1646,African American,No
1647,White,Yes
1648,African American,No
1649,African American,No
1650,African American,No
1651,African American,No
1652,African American,Yes
1653,White,No
1654,White,No
1655,White,No
1656,White,No
1657,White,Yes
1658,African American,No
1659,African American,No
1660,African American,No
1661,African American,No
1662,White,No
1663,White,No
1664,White,No
1665,White,No
1666,African American,No
1667,White,Yes
1668,African American,No
1669,White,No
1670,White,Yes
1671,White,No
1672,White,No
1673,African American,No
1674,White,No
1675,White,No
1676,African American,No
1677,African American,No
1678,White,No
1679,White,Yes
1680,White,No
1681,African American,No
1682,White,No
1683,White,No
1684,White,No
1685,African American,No
1686,White,No
1687,African American,No
1688,African American,No
1689,White,No
1690,African American,No
1691,African American,No
1692,African American,No
1693,African American,No
1694,White,No
1695,African American,No
1696,White,No
1697,White,No
1698,African American,No
1699,African American,Yes
1700,White,No
1701,African American,No
1702,White,No
1703,White,No
1704,African American,No
1705,African American,No
1706,White,No
1707,White,No
1708,White,No
1709,African American,No
1710,African American,No
1711,African American,No
1712,African American,No
1713,White,No
1714,White,No
1715,White,No
1716,White,No
1717,White,Yes
1718,African American,No
1719,African American,No
1720,African American,No
1721,African American,Yes
1722,African American,No
1723,African American,No
1724,African American,No
1725,African American,No
1726,African American,Yes
1727,African American,No
1728,White,No
1729,African American,No
1730,African American,No
1731,White,No
1732,White,Yes
1733,African American,No
1734,White,No
1735,African American,No
1736,White,No
1737,African American,No
1738,African American,No
1739,White,No
1740,White,No
1741,African American,No
1742,White,No
1743,African American,No
1744,African American,No
1745,White,Yes
1746,African American,No
1747,African American,No
1748,African American,No
1749,African American,No
1750,African American,No
1751,White,No
1752,African American,No
1753,African American,No
1754,White,No
1755,African American,No
1756,African American,No
1757,White,No
1758,African American,No
1759,African American,No
1760,African American,No
1761,White,Yes
1762,White,No
1763,White,No
1764,African American,No
1765,White,No
1766,African American,No
1767,African American,No
1768,White,No
1769,White,No
1770,White,No
1771,African American,No
1772,White,No
1773,White,No
1774,African American,No
1775,African American,No
1776,White,No
1777,African American,No
1778,African American,No
1779,African American,No
1780,White,Yes
1781,African American,No
1782,White,Yes
1783,White,No
1784,African American,Yes
1785,African American,No
1786,White,No
1787,White,No
1788,White,No
1789,African American,No
1790,African American,No
1791,White,No
1792,White,Yes
1793,White,No
1794,White,No
1795,African American,No
1796,White,No
1797,White,No
1798,African American,No
1799,White,No
1800,African American,No
1801,White,No
1802,White,No
1803,White,No
1804,White,No
1805,African American,No
1806,African American,No
1807,White,Yes
1808,African American,No
1809,White,No
1810,African American,No
1811,White,No
1812,White,No
1813,African American,No
1814,White,Yes
1815,African American,No
1816,White,No
1817,African American,No
1818,African American,No
1819,African American,No
1820,White,No
1821,African American,No
1822,African American,No
1823,African American,No
1824,African American,No
1825,White,No
1826,White,No
1827,African American,No
1828,White,No
1829,African American,No
1830,White,No
1831,White,No
1832,White,No
1833,African American,No
1834,African American,No
1835,African American,No
1836,African American,Yes
1837,White,No
1838,White,No
1839,African American,No
1840,African American,No
1841,African American,No
1842,African American,No
1843,African American,No
1844,African American,No
1845,White,Yes
1846,White,No
1847,African American,No
1848,White,No
1849,White,No
1850,African American,No
1851,African American,No
1852,White,No
1853,White,No
1854,White,No
1855,White,No
1856,African American,No
1857,White,No
1858,White,No
1859,African American,No
1860,African American,No
1861,White,No
1862,White,No
1863,White,No
1864,African American,No
1865,White,No
1866,White,No
1867,African American,No
1868,White,No
1869,White,No
1870,African American,No
1871,African American,Yes
1872,White,No
1873,African American,No
1874,African American,No
1875,White,No
1876,African American,No
1877,White,Yes
1878,African American,No
1879,African American,No
1880,African American,No
1881,African American,No
1882,African American,No
1883,White,No
1884,African American,No
1885,White,Yes
1886,African American,No
1887,African American,No
1888,African American,No
1889,African American,No
1890,African American,No
1891,White,No
1892,African American,No
1893,African American,No
1894,White,No
1895,White,No
1896,African American,No
1897,White,No
1898,African American,No
1899,African American,No
1900,African American,No
1901,White,No
1902,African American,No
1903,African American,No
1904,White,No
1905,White,No
1906,African American,No
1907,African American,No
1908,African American,No
1909,White,No
1910,White,No
1911,White,No
1912,African American,No
1913,African American,No
1914,African American,No
1915,White,No
1916,African American,No
1917,African American,No
1918,African American,No
1919,African American,No
1920,African American,No
1921,African American,No
1922,African American,No
1923,African American,No
1924,White,No
1925,White,No
1926,White,No
1927,African American,No
1928,African American,No
1929,African American,No
1930,African American,No
1931,White,No
1932,White,No
1933,African American,No
1934,White,No
1935,African American,Yes
1936,White,No
1937,White,No
1938,African American,No
1939,White,No
1940,White,No
1941,White,No
1942,White,No
1943,White,No
1944,White,No
1945,African American,No
1946,African American,No
1947,White,No
1948,White,Yes
1949,African American,No
1950,White,No
1951,African American,No
1952,White,Yes
1953,African American,No
1954,White,No
1955,African American,No
