StudentID,SES,Enrolled
243,Middle-income,yes
244,High-income,yes
245,Low-income,yes
246,High-income,yes
247,Low-income,no
248,High-income,yes
249,Middle-income,yes
250,Low-income,no
251,Middle-income,no
252,Middle-income,yes
253,Low-income,no
254,High-income,yes
255,Low-income,no
256,High-income,yes
257,High-income,yes
258,Low-income,yes
259,High-income,no
260,High-income,yes
261,High-income,yes
262,Low-income,no
263,Low-income,yes
264,Middle-income,no
265,High-income,yes
266,High-income,yes
267,Middle-income,no
268,Middle-income,yes
269,Low-income,no
270,Middle-income,no
271,Middle-income,yes
272,Low-income,no
273,High-income,yes
274,Middle-income,no
275,High-income,yes
276,High-income,yes
277,Middle-income,yes
278,Middle-income,no
279,High-income,yes
280,High-income,no
281,High-income,no
282,High-income,yes
283,Low-income,no
284,Low-income,no
285,Middle-income,no
286,Low-income,no
287,Middle-income,yes
288,Low-income,no
289,High-income,no
290,High-income,yes
291,Low-income,no
292,Low-income,yes
293,Middle-income,no
294,Middle-income,yes
295,Low-income,no
296,Low-income,no
297,High-income,no
298,Low-income,no
299,Low-income,no
300,Middle-income,no
301,Low-income,no
302,Middle-income,no
303,High-income,no
304,High-income,no
305,High-income,yes
306,Middle-income,no
307,High-income,no
308,Middle-income,yes
309,Middle-income,no
310,Low-income,no
311,High-income,no
312,Middle-income,yes
313,High-income,yes
314,High-income,yes
315,High-income,yes
316,Middle-income,no
317,Low-income,no
318,High-income,yes
319,High-income,no
320,High-income,yes
321,Middle-income,yes
322,Middle-income,no
323,High-income,yes
324,High-income,no
325,High-income,yes
326,High-income,no
327,Low-income,yes
328,Low-income,no
329,Middle-income,yes
330,High-income,no
331,Middle-income,no
332,Middle-income,no
333,Low-income,no
334,Middle-income,no
335,Middle-income,no
336,Middle-income,no
337,Low-income,yes
338,Middle-income,no
339,High-income,no
340,High-income,yes
341,High-income,no
342,Low-income,yes
343,Low-income,yes
344,Low-income,yes
345,Middle-income,no
346,Middle-income,yes
347,High-income,yes
348,Middle-income,yes
349,Middle-income,yes
350,High-income,yes
351,Low-income,no
352,Low-income,no
353,Low-income,no
354,High-income,yes
355,High-income,yes
356,Low-income,no
357,Middle-income,no
358,High-income,yes
359,Low-income,yes
360,High-income,yes
361,High-income,no
362,Low-income,no
363,High-income,yes
364,Middle-income,no
365,High-income,yes
366,Middle-income,yes
367,High-income,yes
368,High-income,yes
369,Middle-income,yes
370,Low-income,no
371,Low-income,no
372,High-income,yes
373,High-income,yes
374,Middle-income,no
375,Middle-income,yes
376,Low-income,no
377,Low-income,yes
378,Low-income,yes
379,Middle-income,no
380,Low-income,no
381,Middle-income,no
382,High-income,yes
383,Middle-income,no
384,High-income,no
385,High-income,yes
386,Middle-income,yes
387,High-income,no
388,High-income,no
389,Low-income,yes
390,High-income,yes
391,High-income,yes
392,Middle-income,no
393,High-income,yes
394,Middle-income,no
395,Middle-income,no
396,High-income,no
397,Middle-income,yes
398,High-income,no
399,Low-income,yes
400,Middle-income,no
401,Low-income,yes
402,High-income,yes
403,Low-income,no
404,Low-income,no
405,Middle-income,yes
406,Low-income,no
407,Middle-income,no
408,Low-income,no
409,Middle-income,no
410,High-income,yes
411,Low-income,no
412,Middle-income,yes
413,High-income,yes
414,Middle-income,yes
415,High-income,yes
416,High-income,yes
417,Low-income,yes
418,Low-income,yes
419,Low-income,no
420,Middle-income,no
421,Low-income,no
422,High-income,yes
423,Middle-income,no
424,Low-income,no
425,High-income,no
426,High-income,yes
427,Middle-income,no
428,Low-income,no
429,High-income,yes
430,High-income,yes
431,Low-income,no
432,Middle-income,yes
433,Low-income,no
434,Low-income,yes
435,Middle-income,no
436,Middle-income,no
437,Low-income,yes
438,Middle-income,no
439,Low-income,no
440,Middle-income,yes
441,Middle-income,no
442,Middle-income,no
443,High-income,yes
444,High-income,yes
445,High-income,no
446,High-income,yes
447,Middle-income,yes
448,High-income,yes
449,High-income,yes
450,High-income,no
451,High-income,yes
452,Middle-income,no
453,High-income,yes
454,Middle-income,no
455,Middle-income,no
456,Middle-income,no
457,Middle-income,yes
458,Low-income,yes
459,High-income,no
460,Middle-income,yes
461,High-income,no
462,High-income,yes
463,Middle-income,no
464,Low-income,no
465,Low-income,no
466,Low-income,no
467,Middle-income,yes
468,High-income,no
469,Low-income,no
470,Low-income,yes
471,High-income,yes
472,Middle-income,no
473,High-income,yes
474,High-income,yes
475,Middle-income,yes
476,High-income,yes
477,Middle-income,no
478,Low-income,no
479,Low-income,no
480,Middle-income,yes
481,High-income,yes
482,High-income,no
483,High-income,yes
484,High-income,yes
485,High-income,no
486,Low-income,yes
487,Middle-income,no
488,Middle-income,no
489,High-income,yes
490,Low-income,yes
491,Middle-income,no
492,Middle-income,no
493,High-income,yes
494,Low-income,yes
495,Middle-income,yes
496,High-income,no
497,Low-income,no
498,Low-income,no
499,Middle-income,no
500,High-income,no
501,Middle-income,yes
502,Middle-income,no
503,Middle-income,yes
504,Middle-income,no
505,High-income,yes
506,High-income,yes
507,Middle-income,no
508,High-income,yes
509,Middle-income,yes
510,Low-income,no
511,Middle-income,no
512,Middle-income,yes
513,Middle-income,yes
514,Middle-income,no
515,Low-income,no
516,High-income,no
517,Middle-income,yes
518,Low-income,no
519,Middle-income,yes
520,High-income,yes
521,Middle-income,no
522,High-income,no
523,High-income,yes
524,High-income,no
525,High-income,no
526,High-income,no
527,High-income,yes
528,High-income,yes
529,High-income,yes
530,Middle-income,yes
531,Low-income,no
532,High-income,yes
533,Low-income,yes
534,Low-income,no
535,Low-income,no
536,Low-income,yes
537,Middle-income,no
538,High-income,no
539,High-income,yes
540,Low-income,no
541,Middle-income,no
542,Low-income,no
543,High-income,no
544,Middle-income,yes
545,Middle-income,no
546,High-income,yes
547,Middle-income,yes
548,Middle-income,yes
549,Low-income,no
550,Low-income,no
551,Low-income,yes
552,Low-income,no
553,Low-income,no
554,High-income,no
555,Low-income,no
556,High-income,no
557,Low-income,no
558,Low-income,no
559,Middle-income,yes
560,Middle-income,no
561,Low-income,no
562,High-income,yes
563,Middle-income,no
564,Low-income,no
565,High-income,no
566,Middle-income,no
567,Middle-income,yes
568,Middle-income,yes
569,Middle-income,yes
570,Middle-income,no
571,Middle-income,no
572,High-income,no
573,High-income,yes
574,Middle-income,no
575,Low-income,no
576,Low-income,no
577,High-income,no
578,Low-income,no
579,Low-income,no
580,Low-income,yes
581,Middle-income,no
582,Middle-income,yes
583,High-income,yes
584,Low-income,no
585,Low-income,no
586,High-income,yes
587,High-income,no
588,Low-income,no
589,Middle-income,yes
590,High-income,yes
591,Middle-income,no
592,Middle-income,yes
593,Middle-income,yes
594,High-income,no
595,Middle-income,no
596,Low-income,no
597,Low-income,no
598,Middle-income,yes
599,Low-income,no
600,High-income,yes
601,High-income,no
602,Middle-income,no
603,High-income,no
604,Middle-income,no
605,Low-income,no
606,Low-income,no
607,Low-income,yes
608,High-income,no
609,Middle-income,no
610,Low-income,yes
611,Low-income,no
612,High-income,no
613,Middle-income,yes
614,High-income,yes
615,High-income,yes
616,High-income,no
617,High-income,yes
618,Middle-income,yes
619,High-income,yes
620,Low-income,yes
621,High-income,yes
622,Middle-income,no
623,Low-income,no
624,High-income,yes
625,High-income,yes
626,Low-income,yes
627,High-income,yes
628,High-income,yes
629,Low-income,no
630,High-income,yes
631,High-income,no
632,Low-income,no
633,Low-income,no
634,Middle-income,yes
635,Low-income,no
636,High-income,no
637,Middle-income,no
638,Middle-income,no
639,High-income,yes
640,High-income,no
641,High-income,no
642,Low-income,no
643,Low-income,no
644,Middle-income,yes
645,Low-income,no
646,Middle-income,no
647,Middle-income,yes
648,High-income,no
649,Middle-income,no
650,Middle-income,yes
651,Middle-income,yes
652,High-income,yes
653,Middle-income,no
654,High-income,yes
655,Middle-income,yes
656,Middle-income,yes
657,Low-income,no
658,Middle-income,no
659,Middle-income,yes
660,Middle-income,yes
661,Low-income,no
662,Low-income,no
663,High-income,no
664,Low-income,no
665,Low-income,no
666,Low-income,no
667,High-income,yes
668,Low-income,yes
669,Low-income,no
670,High-income,yes
671,Low-income,no
672,High-income,yes
673,Low-income,no
674,Middle-income,no
675,Low-income,no
676,Middle-income,no
677,Middle-income,no
678,Middle-income,yes
679,High-income,yes
680,Middle-income,no
681,Middle-income,no
682,High-income,yes
683,Low-income,no
684,Middle-income,no
685,High-income,yes
686,Middle-income,no
687,Low-income,no
688,High-income,yes
689,Middle-income,yes
690,High-income,yes
691,High-income,yes
692,Middle-income,yes
693,High-income,yes
694,Low-income,no
695,Middle-income,yes
696,Middle-income,yes
697,High-income,yes
698,Low-income,yes
699,Low-income,yes
700,High-income,no
701,High-income,yes
702,High-income,yes
703,Low-income,no
704,High-income,yes
705,Low-income,yes
706,High-income,no
707,High-income,yes
708,Low-income,no
709,Middle-income,no
710,High-income,yes
711,Middle-income,yes
712,High-income,no
713,High-income,yes
714,Middle-income,no
715,Middle-income,no
716,High-income,no
717,Low-income,no
718,High-income,no
719,Low-income,no
720,High-income,yes
721,Low-income,no
722,Low-income,no
723,Low-income,no
724,High-income,yes
725,Middle-income,yes
726,High-income,yes
727,High-income,no
728,Middle-income,yes
729,Low-income,no
730,High-income,no
731,Middle-income,no
732,High-income,no
733,Middle-income,no
734,High-income,yes
735,Middle-income,no
736,High-income,no
737,Low-income,yes
738,Middle-income,no
739,Low-income,no
740,Low-income,yes
741,High-income,yes
742,Middle-income,no
743,High-income,yes
744,High-income,no
745,High-income,no
746,High-income,no
747,Middle-income,yes
748,Low-income,no
749,Middle-income,no
750,Low-income,no
751,High-income,yes
752,Middle-income,no
753,Middle-income,yes
754,Low-income,no
755,High-income,yes
756,Low-income,no
757,High-income,yes
758,Middle-income,no
759,Low-income,no
760,Low-income,no
761,Low-income,no
762,Low-income,yes
763,High-income,yes
764,Low-income,yes
765,High-income,yes
766,High-income,no
767,Middle-income,no
768,High-income,no
769,Low-income,yes
770,Middle-income,no
771,High-income,yes
772,Low-income,yes
773,Middle-income,no
774,Low-income,no
775,Low-income,no
776,Middle-income,no
777,Low-income,no
778,High-income,no
779,High-income,no
780,Low-income,no
781,High-income,no
782,Middle-income,yes
783,Low-income,no
784,Middle-income,no
785,High-income,yes
786,High-income,no
787,Middle-income,no
788,Low-income,no
789,High-income,yes
790,Middle-income,no
791,High-income,no
792,Middle-income,yes
793,Low-income,no
794,Middle-income,yes
795,Low-income,no
796,Low-income,no
797,Low-income,no
798,High-income,no
799,High-income,no
800,High-income,yes
801,Low-income,no
802,Low-income,no
803,Middle-income,yes
804,Low-income,no
805,Low-income,no
806,Middle-income,no
807,High-income,yes
808,High-income,yes
809,High-income,yes
810,Middle-income,no
811,Middle-income,no
812,Low-income,no
813,Middle-income,yes
814,High-income,yes
815,High-income,no
816,High-income,yes
817,Low-income,yes
818,Middle-income,no
819,High-income,yes
820,Middle-income,no
821,Middle-income,yes
822,Middle-income,yes
823,High-income,yes
824,Middle-income,no
825,Low-income,no
826,High-income,yes
827,Low-income,no
828,Middle-income,no
829,Middle-income,no
830,High-income,no
831,Low-income,no
832,Low-income,no
833,High-income,yes
834,High-income,no
835,Low-income,yes
836,High-income,no
837,Middle-income,no
838,Low-income,no
839,Low-income,no
840,High-income,yes
841,High-income,yes
842,Low-income,no
843,High-income,yes
844,Middle-income,yes
845,Low-income,yes
846,High-income,yes
847,Low-income,no
848,Middle-income,yes
849,High-income,yes
850,Middle-income,yes
851,High-income,no
852,High-income,no
853,Middle-income,no
854,High-income,yes
855,Middle-income,yes
856,Middle-income,yes
857,Low-income,no
858,Middle-income,no
859,Middle-income,no
860,Middle-income,yes
861,Middle-income,yes
862,High-income,yes
863,Middle-income,yes
864,Middle-income,no
865,Low-income,yes
866,Middle-income,no
867,Low-income,no
868,High-income,yes
869,High-income,yes
870,Middle-income,no
871,Middle-income,yes
872,High-income,yes
873,Middle-income,no
874,Low-income,no
875,Middle-income,no
876,Middle-income,no
877,Middle-income,no
878,High-income,yes
879,Low-income,no
880,High-income,no
881,High-income,yes
882,High-income,yes
883,Middle-income,yes
884,Middle-income,no
885,High-income,yes
886,High-income,yes
887,High-income,yes
888,Low-income,no
889,Middle-income,no
890,High-income,yes
891,Middle-income,no
892,Low-income,no
893,High-income,no
894,Low-income,no
895,Middle-income,no
896,Middle-income,no
897,High-income,no
898,Low-income,no
899,High-income,yes
900,Middle-income,no
901,Middle-income,yes
902,Middle-income,no
903,High-income,yes
904,Middle-income,yes
905,Middle-income,yes
906,High-income,yes
907,High-income,no
908,High-income,yes
909,Low-income,no
910,High-income,no
911,High-income,yes
912,Low-income,no
913,High-income,yes
914,Low-income,yes
915,High-income,yes
916,Low-income,no
917,Middle-income,no
918,Low-income,yes
919,Middle-income,yes
920,Middle-income,no
921,High-income,yes
922,High-income,no
923,High-income,no
924,High-income,no
925,Low-income,no
926,Low-income,no
927,High-income,yes
928,Low-income,no
929,High-income,no
930,Middle-income,yes
931,Middle-income,no
932,Middle-income,yes
933,Low-income,no
934,Low-income,yes
935,Middle-income,yes
936,High-income,yes
937,High-income,yes
938,Middle-income,no
939,High-income,yes
940,Low-income,yes
941,Middle-income,no
942,High-income,no
943,Low-income,no
944,High-income,no
945,Low-income,no
946,High-income,yes
947,High-income,yes
948,Low-income,no
949,High-income,no
950,Low-income,no
951,High-income,yes
952,Low-income,no
953,Middle-income,yes
954,Low-income,no
955,Middle-income,no
956,High-income,yes
957,Low-income,no
958,Low-income,no
959,High-income,yes
960,High-income,yes
961,Middle-income,yes
962,Middle-income,no
963,Middle-income,no
964,Middle-income,yes
965,Low-income,no
966,Low-income,no
967,High-income,yes
968,High-income,no
969,Low-income,no
970,Middle-income,no
971,High-income,yes
972,Middle-income,no
973,Low-income,no
974,Middle-income,no
975,High-income,yes
976,Middle-income,yes
977,Middle-income,yes
978,Middle-income,no
979,Middle-income,no
980,High-income,yes
981,High-income,yes
982,High-income,no
983,High-income,yes
984,Low-income,no
985,Middle-income,yes
986,Middle-income,yes
987,Low-income,no
988,Middle-income,no
989,Middle-income,yes
990,High-income,yes
991,High-income,no
992,Low-income,no
993,Middle-income,no
994,Middle-income,yes
995,High-income,no
996,Low-income,no
997,Middle-income,yes
998,High-income,yes
999,Middle-income,yes
1000,Low-income,no
1001,Middle-income,no
1002,Low-income,yes
1003,Low-income,no
1004,Middle-income,yes
1005,Middle-income,yes
1006,High-income,no
1007,Middle-income,yes
1008,High-income,no
1009,Low-income,no
1010,Low-income,yes
1011,High-income,yes
1012,High-income,no
1013,High-income,no
1014,Middle-income,yes
1015,Low-income,no
1016,Low-income,no
1017,Low-income,no
1018,Middle-income,no
1019,High-income,no
1020,Middle-income,no
1021,Low-income,no
1022,Low-income,no
1023,High-income,yes
1024,High-income,yes
1025,Middle-income,no
1026,High-income,no
1027,High-income,no
1028,High-income,yes
1029,Low-income,yes
1030,High-income,yes
1031,Low-income,yes
1032,Low-income,no
1033,Middle-income,no
1034,Low-income,no
1035,High-income,yes
1036,Middle-income,yes
1037,High-income,no
1038,Middle-income,no
1039,High-income,no
1040,Middle-income,yes
1041,Middle-income,no
1042,Middle-income,no
1043,Low-income,yes
1044,Low-income,no
1045,Middle-income,yes
1046,Low-income,no
1047,High-income,no
1048,Middle-income,yes
1049,High-income,yes
1050,Middle-income,no
1051,High-income,no
1052,Middle-income,no
1053,Middle-income,yes
1054,Low-income,no
1055,Middle-income,yes
1056,Middle-income,no
1057,Low-income,no
1058,High-income,no
1059,High-income,no
1060,Middle-income,no
1061,Middle-income,yes
1062,Middle-income,no
1063,High-income,yes
1064,Low-income,no
1065,Low-income,no
1066,High-income,no
1067,High-income,no
1068,High-income,yes
1069,Low-income,no
1070,High-income,no
1071,High-income,yes
1072,Middle-income,no
1073,Low-income,no
1074,Low-income,yes
1075,Middle-income,no
1076,High-income,yes
1077,High-income,yes
1078,High-income,yes
1079,Middle-income,no
1080,High-income,yes
1081,Middle-income,no
1082,Low-income,no
1083,Low-income,no
1084,High-income,yes
1085,Middle-income,no
1086,Middle-income,yes
1087,High-income,yes
1088,High-income,yes
1089,High-income,yes
1090,High-income,no
1091,High-income,yes
1092,Low-income,no
1093,Middle-income,yes
1094,Low-income,no
1095,Low-income,no
1096,Middle-income,no
1097,High-income,yes
1098,Low-income,no
1099,Low-income,no
1100,Middle-income,yes
1101,High-income,yes
1102,Middle-income,no
1103,High-income,yes
1104,High-income,yes
1105,Middle-income,yes
1106,High-income,yes
1107,Middle-income,no
1108,High-income,yes
1109,High-income,yes
1110,High-income,yes
1111,Middle-income,yes
1112,Low-income,no
1113,High-income,no
1114,Middle-income,yes
1115,High-income,yes
1116,High-income,no
1117,High-income,no
1118,Low-income,no
1119,High-income,yes
1120,Middle-income,no
1121,High-income,yes
1122,Low-income,no
1123,Middle-income,no
1124,High-income,yes
1125,Low-income,no
1126,Low-income,no
1127,Middle-income,no
1128,Low-income,no
1129,High-income,yes
1130,High-income,yes
1131,Low-income,no
1132,High-income,yes
1133,High-income,yes
1134,Middle-income,no
1135,Low-income,no
1136,High-income,no
1137,High-income,yes
1138,High-income,no
1139,High-income,yes
1140,Middle-income,no
1141,Low-income,yes
1142,High-income,yes
1143,Low-income,no
1144,Low-income,no
1145,Middle-income,no
1146,Middle-income,yes
1147,High-income,yes
1148,High-income,yes
1149,Middle-income,no
1150,High-income,no
1151,Middle-income,no
1152,High-income,yes
1153,Low-income,no
1154,Middle-income,no
1155,High-income,no
1156,High-income,yes
1157,Middle-income,yes
1158,Middle-income,no
1159,Low-income,no
1160,High-income,yes
1161,Middle-income,no
1162,Low-income,no
1163,Middle-income,yes
1164,High-income,no
1165,Low-income,no
1166,High-income,no
1167,Low-income,no
1168,Low-income,no
1169,High-income,yes
1170,Middle-income,no
1171,Low-income,no
1172,Low-income,no
1173,High-income,no
1174,Low-income,no
1175,High-income,yes
1176,High-income,yes
1177,High-income,yes
1178,Middle-income,no
1179,High-income,no
1180,Low-income,no
1181,Middle-income,yes
1182,Low-income,no
1183,Low-income,no
1184,Middle-income,yes
1185,High-income,yes
1186,High-income,no
1187,High-income,yes
1188,High-income,yes
1189,Middle-income,no
1190,High-income,yes
1191,Middle-income,yes
1192,High-income,yes
1193,Low-income,yes
1194,Middle-income,yes
1195,Middle-income,yes
1196,High-income,no
1197,Middle-income,no
1198,Middle-income,no
1199,High-income,yes
1200,High-income,yes
1201,Middle-income,yes
1202,Middle-income,yes
1203,High-income,yes
1204,Middle-income,no
1205,Middle-income,yes
1206,Middle-income,no
1207,High-income,yes
1208,High-income,yes
1209,Middle-income,no
1210,High-income,yes
1211,Middle-income,no
1212,High-income,yes
1213,Middle-income,yes
1214,High-income,yes
1215,Middle-income,no
1216,Low-income,no
1217,High-income,yes
1218,Middle-income,no
1219,Middle-income,yes
1220,High-income,no
1221,High-income,no
1222,High-income,yes
1223,Low-income,no
1224,Middle-income,no
1225,Middle-income,yes
1226,High-income,no
1227,Middle-income,no
1228,Middle-income,yes
1229,High-income,yes
1230,High-income,yes
1231,Middle-income,yes
1232,Middle-income,no
1233,High-income,no
1234,Middle-income,yes
1235,Middle-income,yes
1236,Low-income,no
1237,Middle-income,yes
1238,Middle-income,no
1239,Middle-income,no
1240,High-income,yes
1241,High-income,yes
1242,High-income,no
1243,Middle-income,yes
1244,Low-income,no
1245,Low-income,no
1246,High-income,yes
1247,Low-income,no
1248,High-income,yes
1249,Low-income,no
1250,Low-income,yes
1251,Low-income,no
1252,Middle-income,no
1253,Middle-income,no
1254,Middle-income,no
1255,High-income,yes
1256,High-income,yes
1257,Middle-income,yes
1258,High-income,yes
1259,Middle-income,no
1260,Low-income,no
1261,Low-income,no
1262,High-income,yes
1263,High-income,yes
1264,Middle-income,no
1265,Low-income,yes
1266,Low-income,no
1267,Middle-income,yes
1268,Low-income,no
1269,Middle-income,yes
1270,High-income,yes
1271,High-income,no
1272,Low-income,yes
1273,Middle-income,yes
1274,Low-income,no
1275,High-income,yes
1276,High-income,yes
1277,Middle-income,no
1278,Middle-income,yes
1279,Low-income,no
1280,High-income,no
1281,Low-income,no
1282,Low-income,no
1283,Middle-income,yes
1284,Middle-income,no
1285,Middle-income,yes
1286,High-income,yes
1287,Middle-income,no
1288,High-income,yes
1289,High-income,yes
1290,High-income,yes
1291,Low-income,no
1292,Low-income,no
1293,Middle-income,yes
1294,Middle-income,no
1295,High-income,yes
1296,Low-income,no
1297,High-income,no
1298,Middle-income,no
1299,Middle-income,yes
1300,Low-income,no
1301,Low-income,no
1302,Low-income,yes
1303,Middle-income,no
1304,Middle-income,no
1305,High-income,yes
1306,Low-income,no
1307,High-income,no
1308,Low-income,no
1309,Middle-income,yes
1310,High-income,yes
1311,High-income,no
1312,High-income,yes
1313,Middle-income,no
1314,High-income,yes
1315,Middle-income,yes
1316,High-income,no
1317,Low-income,no
1318,High-income,no
1319,Middle-income,yes
1320,Middle-income,no
1321,High-income,yes
1322,Middle-income,no
1323,High-income,no
1324,Middle-income,yes
1325,Low-income,no
1326,Low-income,no
1327,Middle-income,no
1328,High-income,yes
1329,Low-income,no
1330,High-income,no
1331,High-income,yes
1332,Middle-income,no
1333,Middle-income,yes
1334,Low-income,yes
1335,Middle-income,yes
1336,High-income,yes
1337,Low-income,no
1338,High-income,no
1339,High-income,yes
1340,Low-income,no
1341,Low-income,yes
1342,High-income,yes
1343,Middle-income,no
1344,Low-income,no
1345,High-income,yes
1346,High-income,yes
1347,High-income,yes
1348,High-income,yes
1349,High-income,no
1350,High-income,yes
