id,deathpen,rdefend,rvictim
185,No,Black,Black
186,Yes,White,White
187,No,White,White
188,No,Black,Black
189,No,Black,Black
190,No,Black,Black
191,No,Black,Black
192,No,White,White
193,No,Black,Black
194,Yes,White,White
195,No,White,White
196,No,Black,Black
197,No,White,White
198,Yes,White,White
199,No,Black,Black
200,No,White,White
201,No,White,White
202,No,White,White
203,No,Black,Black
204,No,Black,Black
205,No,Black,Black
206,Yes,White,White
207,No,White,White
208,No,Black,Black
209,No,White,Black
210,No,Black,Black
211,No,Black,White
212,No,White,White
213,No,Black,Black
214,No,Black,Black
215,No,White,White
216,No,Black,Black
217,Yes,Black,White
218,No,White,White
219,No,White,Black
220,No,Black,Black
221,No,Black,Black
222,No,White,White
223,No,Black,Black
224,No,White,White
225,No,White,White
226,No,White,White
227,No,White,White
228,No,Black,Black
229,No,White,White
230,No,White,White
231,No,White,Black
232,No,Black,Black
233,No,White,White
234,No,Black,Black
235,No,Black,Black
236,No,Black,Black
237,No,Black,Black
238,No,Black,Black
239,No,Black,Black
240,No,Black,Black
241,No,Black,Black
242,No,Black,White
243,No,White,White
244,No,White,White
245,No,White,Black
246,No,White,White
247,No,Black,Black
248,No,Black,Black
249,No,Black,Black
250,No,White,White
251,No,Black,Black
252,Yes,Black,Black
253,No,White,White
254,No,Black,Black
255,No,White,White
256,No,White,White
257,No,White,White
258,No,Black,Black
259,No,White,White
260,No,Black,Black
261,No,Black,Black
262,No,Black,Black
263,No,Black,Black
264,No,Black,Black
265,No,White,White
266,No,White,White
267,No,Black,Black
268,No,White,White
269,No,Black,Black
270,No,Black,Black
271,No,Black,Black
272,No,Black,Black
273,No,Black,Black
274,No,White,White
275,No,Black,Black
276,Yes,Black,White
277,No,White,White
278,No,Black,Black
279,No,Black,Black
280,No,White,White
281,No,Black,Black
282,No,White,White
283,No,Black,Black
284,No,Black,Black
285,No,White,White
286,No,Black,Black
287,No,Black,Black
288,No,White,White
289,No,Black,Black
290,No,White,Black
291,No,Black,Black
292,No,White,White
293,No,Black,Black
294,No,Black,Black
295,No,White,White
296,No,Black,Black
297,No,White,White
298,No,White,White
299,No,White,White
300,No,Black,Black
301,No,White,White
302,No,White,White
303,No,Black,Black
304,No,White,White
305,No,Black,White
306,No,Black,Black
307,No,White,White
308,No,White,White
309,No,Black,Black
310,No,Black,Black
311,No,Black,Black
312,No,Black,Black
313,No,White,White
314,No,Black,Black
315,No,White,White
316,No,Black,Black
317,No,Black,Black
318,No,Black,Black
319,Yes,White,White
320,No,White,Black
321,No,White,Black
322,No,White,White
323,No,White,White
324,No,Black,Black
325,No,Black,Black
326,No,White,White
327,No,Black,Black
328,No,Black,Black
329,No,White,White
330,No,White,White
331,No,White,White
332,No,White,Black
333,No,White,Black
334,No,Black,Black
335,Yes,Black,Black
336,No,Black,Black
337,Yes,Black,White
338,No,Black,Black
339,No,White,White
340,No,White,Black
341,No,Black,Black
342,No,Black,Black
343,No,Black,Black
344,No,Black,Black
345,No,Black,Black
346,No,Black,Black
347,No,White,White
348,No,White,White
349,No,White,White
350,No,White,White
351,No,Black,Black
352,No,Black,Black
353,No,Black,Black
354,No,White,White
355,No,Black,Black
356,No,Black,Black
357,No,Black,Black
358,No,White,Black
359,No,White,White
360,No,Black,Black
361,No,White,White
362,Yes,White,White
363,No,White,White
364,No,Black,Black
365,No,White,White
366,No,Black,Black
367,No,Black,Black
368,No,White,White
369,No,Black,Black
370,No,Black,Black
371,No,White,White
372,No,Black,Black
373,No,Black,Black
374,No,Black,Black
375,No,Black,Black
376,No,White,Black
377,No,White,Black
378,No,White,White
379,No,Black,Black
380,No,White,White
381,Yes,Black,White
382,No,White,White
383,No,Black,White
384,No,Black,Black
385,No,Black,Black
386,No,Black,White
387,No,Black,White
388,No,White,White
389,No,White,White
390,No,White,White
391,No,Black,Black
392,No,Black,Black
393,No,Black,Black
394,No,White,White
395,No,Black,Black
396,No,Black,Black
397,No,White,White
398,No,White,Black
399,No,Black,Black
400,No,Black,Black
401,No,Black,Black
402,No,Black,Black
403,No,Black,Black
404,No,White,White
405,No,White,White
406,No,Black,Black
407,No,Black,Black
408,No,White,White
409,No,White,White
410,No,White,White
411,No,Black,Black
412,No,White,White
413,No,White,White
414,No,White,Black
415,No,Black,Black
416,No,White,White
417,No,Black,Black
418,No,Black,Black
419,No,White,White
420,No,Black,Black
421,No,Black,Black
422,No,Black,Black
423,No,White,White
424,No,Black,Black
425,No,Black,Black
426,No,Black,Black
427,No,White,White
428,No,Black,Black
429,No,White,White
430,No,Black,Black
431,No,Black,Black
432,No,Black,Black
433,No,Black,White
434,No,White,White
435,No,Black,Black
436,No,Black,Black
437,No,White,White
438,No,Black,Black
439,No,White,White
440,No,Black,Black
441,No,Black,Black
442,No,Black,Black
443,No,White,White
444,No,White,Black
445,No,White,White
446,No,White,White
447,No,Black,Black
448,No,White,Black
449,Yes,Black,White
450,No,Black,Black
451,No,White,White
452,No,Black,White
453,No,Black,Black
454,No,Black,Black
455,No,White,Black
456,No,White,White
457,No,White,White
458,No,White,White
459,No,Black,Black
460,No,White,White
461,No,White,White
462,No,Black,White
463,No,White,White
464,No,White,White
465,No,White,Black
466,No,Black,Black
467,No,White,White
468,No,Black,Black
469,No,Black,Black
470,No,Black,Black
471,No,White,White
472,No,Black,White
473,No,Black,Black
474,No,Black,Black
475,No,White,White
476,No,Black,Black
477,No,White,White
478,No,Black,Black
479,No,Black,Black
480,No,White,White
481,No,White,White
482,No,Black,Black
483,No,Black,Black
484,Yes,Black,White
485,No,Black,Black
486,Yes,White,White
487,No,White,White
488,No,Black,Black
489,No,White,White
490,No,Black,White
491,No,White,White
492,Yes,White,White
493,No,Black,Black
494,No,White,Black
495,No,Black,Black
496,No,Black,Black
497,No,White,Black
498,No,White,White
499,No,Black,Black
500,No,Black,Black
501,No,Black,Black
502,No,White,White
503,No,White,White
504,No,Black,Black
505,No,White,White
506,No,Black,Black
507,No,Black,Black
508,No,Black,Black
509,No,Black,Black
510,No,White,White
511,No,Black,Black
512,No,White,White
513,No,Black,Black
514,No,Black,Black
515,No,Black,Black
516,No,White,White
517,No,White,White
518,No,Black,Black
519,No,White,White
520,No,Black,Black
521,No,White,White
522,No,Black,Black
523,No,Black,Black
524,No,Black,Black
525,No,Black,Black
526,Yes,White,White
527,No,White,White
528,No,Black,Black
529,No,Black,Black
530,No,White,White
531,No,Black,Black
532,No,Black,Black
533,No,Black,Black
534,No,White,White
535,No,Black,Black
536,No,Black,Black
537,No,Black,Black
538,No,Black,Black
539,No,Black,Black
540,No,White,White
541,No,White,Black
542,No,Black,Black
543,No,Black,Black
544,No,White,Black
545,No,White,White
546,No,White,White
547,No,White,Black
548,No,Black,Black
549,No,Black,Black
550,No,Black,Black
551,No,White,White
552,No,White,White
553,No,White,White
554,No,White,White
555,No,Black,Black
556,No,Black,Black
557,No,Black,Black
558,No,Black,Black
559,No,Black,Black
560,No,White,White
561,No,Black,White
562,No,Black,Black
563,No,White,White
564,No,White,White
565,No,Black,Black
566,No,White,White
567,No,Black,Black
568,No,White,Black
569,No,Black,Black
570,No,Black,Black
571,No,Black,Black
572,No,Black,Black
573,No,Black,White
574,No,White,White
575,Yes,White,White
576,No,Black,Black
577,No,White,White
578,No,Black,Black
579,No,Black,Black
580,No,White,White
581,No,White,Black
582,No,Black,Black
583,No,Black,Black
584,No,Black,Black
585,No,White,Black
586,No,White,White
587,No,White,White
588,No,White,Black
589,No,Black,Black
590,No,Black,Black
591,No,White,White
592,No,White,White
593,No,White,White
594,No,Black,Black
595,No,Black,Black
596,No,Black,Black
597,No,Black,Black
598,No,Black,Black
599,No,Black,Black
600,No,Black,Black
601,No,White,White
602,No,Black,Black
603,No,Black,Black
604,No,Black,Black
605,No,White,White
606,No,Black,Black
607,No,Black,Black
608,No,Black,Black
609,No,Black,Black
610,No,Black,Black
611,No,White,White
612,Yes,White,White
613,No,White,White
614,No,White,White
615,No,Black,Black
616,No,White,White
617,No,White,White
618,Yes,White,White
619,No,Black,Black
620,No,White,White
621,No,Black,Black
622,No,White,White
623,No,White,Black
624,No,Black,Black
625,No,Black,Black
626,No,Black,Black
627,No,Black,Black
628,No,Black,Black
629,No,White,White
630,No,White,White
631,No,Black,Black
632,No,Black,Black
633,No,White,White
634,No,White,White
635,Yes,White,White
636,No,Black,Black
637,No,Black,Black
638,No,White,White
639,No,White,White
640,Yes,White,White
641,No,White,White
642,No,Black,Black
643,No,Black,Black
644,No,Black,Black
645,No,Black,Black
646,No,Black,Black
647,No,Black,Black
648,No,Black,Black
649,No,White,White
650,No,Black,Black
651,No,White,Black
652,No,White,Black
653,No,Black,Black
654,No,Black,Black
655,No,Black,Black
656,No,Black,Black
657,No,Black,Black
658,No,White,White
659,No,White,White
660,No,Black,Black
661,No,Black,Black
662,No,Black,Black
663,No,White,White
664,No,Black,Black
665,No,White,White
666,No,White,Black
667,No,White,White
668,No,White,White
669,No,Black,Black
670,Yes,White,White
671,Yes,Black,Black
672,No,White,Black
673,No,White,Black
674,No,Black,Black
675,No,Black,Black
676,No,White,White
677,No,Black,Black
678,No,Black,Black
679,No,White,White
680,No,Black,Black
681,No,White,White
682,Yes,White,White
683,No,White,Black
684,No,White,White
685,Yes,White,Black
686,No,Black,Black
687,Yes,Black,White
688,No,Black,Black
689,No,White,White
690,No,White,White
691,No,Black,Black
692,No,White,White
693,No,Black,Black
694,No,Black,Black
695,Yes,Black,White
696,No,Black,Black
697,No,White,White
698,No,White,White
699,No,Black,Black
700,Yes,White,White
701,No,Black,Black
702,No,White,White
703,No,Black,White
704,No,Black,Black
705,No,Black,Black
706,No,White,White
707,No,White,White
708,No,Black,Black
709,No,Black,Black
710,No,Black,Black
711,No,Black,Black
712,No,White,White
713,No,Black,Black
714,No,White,White
715,No,Black,Black
716,No,Black,Black
717,No,Black,Black
718,No,Black,Black
719,No,Black,Black
720,No,Black,Black
721,Yes,White,White
722,No,White,White
723,No,White,White
724,No,White,White
725,No,Black,Black
726,No,White,White
727,No,Black,Black
728,No,Black,Black
729,No,White,White
730,No,Black,Black
731,No,Black,Black
732,No,White,White
733,No,Black,Black
734,No,White,White
735,No,White,White
736,No,Black,Black
737,No,White,White
738,Yes,White,White
739,No,Black,Black
740,No,White,White
741,No,Black,Black
742,No,White,White
743,No,Black,Black
744,No,White,White
745,No,White,White
746,No,Black,White
747,Yes,Black,White
748,No,Black,Black
749,No,White,White
750,No,Black,Black
751,No,White,White
752,No,White,White
753,No,White,White
754,No,White,Black
755,No,White,White
756,No,Black,Black
757,No,White,White
758,No,White,White
759,No,Black,Black
760,No,Black,Black
761,No,White,White
762,No,Black,Black
763,No,Black,Black
764,No,White,White
765,Yes,White,White
766,No,Black,Black
767,No,Black,Black
768,No,Black,Black
769,No,Black,Black
770,No,Black,Black
771,No,Black,Black
772,No,Black,Black
773,No,Black,Black
774,No,White,White
775,No,White,White
776,No,Black,Black
777,No,White,White
778,No,White,Black
779,No,Black,Black
780,No,Black,Black
781,Yes,White,White
782,No,Black,Black
783,No,Black,Black
784,No,White,Black
785,No,White,White
786,No,Black,Black
787,No,Black,Black
788,No,Black,Black
789,No,White,Black
790,No,White,White
791,No,White,White
792,No,White,White
793,No,White,White
794,No,Black,Black
795,No,Black,Black
796,No,Black,Black
797,No,Black,Black
798,No,Black,Black
799,No,White,White
800,Yes,Black,White
801,No,Black,Black
802,No,Black,Black
803,No,Black,Black
804,No,Black,Black
805,No,Black,Black
806,No,Black,Black
807,No,White,White
808,No,White,White
809,No,White,White
810,No,Black,Black
811,Yes,Black,White
812,No,Black,Black
813,No,Black,Black
814,No,White,White
815,No,White,Black
816,No,Black,Black
817,No,White,White
818,No,Black,Black
819,No,Black,Black
820,No,Black,Black
821,No,White,White
822,No,Black,Black
823,No,White,White
824,No,Black,Black
825,No,Black,Black
826,No,Black,Black
827,No,Black,Black
828,No,Black,Black
829,No,Black,Black
830,No,Black,Black
831,Yes,Black,Black
832,No,White,White
833,No,White,White
834,No,White,White
835,No,Black,White
836,No,Black,Black
837,Yes,Black,White
838,No,Black,Black
839,No,Black,Black
840,No,White,White
841,No,Black,Black
842,No,White,Black
843,No,Black,Black
844,No,Black,Black
845,No,White,White
846,No,Black,Black
847,No,Black,Black
848,No,Black,Black
849,No,Black,Black
850,No,White,White
851,No,Black,Black
852,Yes,Black,White
853,No,Black,Black
854,No,White,Black
855,No,Black,Black
856,No,White,Black
857,No,White,White
858,No,Black,Black
859,No,White,White
860,No,Black,Black
861,No,Black,Black
862,No,White,White
863,No,White,Black
864,No,Black,Black
865,No,Black,Black
866,No,Black,Black
867,Yes,Black,White
868,No,Black,Black
869,No,White,White
870,No,Black,Black
871,No,Black,Black
872,No,Black,Black
873,No,Black,Black
874,No,White,White
875,No,White,White
876,No,Black,Black
877,No,Black,Black
878,Yes,White,White
879,No,White,Black
880,No,Black,Black
881,No,White,Black
882,No,Black,Black
883,No,Black,Black
884,No,Black,Black
885,No,Black,Black
886,No,Black,Black
887,No,Black,Black
888,No,Black,Black
889,No,Black,Black
890,No,White,White
891,No,White,White
892,No,Black,Black
893,No,Black,Black
894,No,Black,Black
895,No,Black,Black
896,No,White,White
897,No,White,White
898,No,Black,Black
899,Yes,White,White
900,No,White,White
901,No,White,White
902,No,Black,Black
903,No,Black,Black
904,No,White,White
905,No,White,White
906,No,White,White
907,No,Black,Black
908,No,White,White
909,No,White,Black
910,No,Black,Black
911,No,Black,Black
912,No,Black,Black
913,No,White,White
914,No,Black,Black
915,No,White,White
916,Yes,White,White
917,No,Black,Black
918,No,White,White
919,No,Black,Black
920,No,Black,Black
921,No,Black,Black
922,No,Black,Black
923,No,White,White
924,No,White,White
925,No,Black,Black
926,No,White,White
927,Yes,White,White
928,No,White,White
929,No,White,Black
930,No,Black,Black
931,No,Black,Black
932,No,Black,Black
933,No,White,White
934,No,Black,Black
935,No,Black,Black
936,No,White,White
937,No,Black,Black
938,No,White,White
939,No,Black,Black
940,No,Black,Black
941,No,White,White
942,No,Black,Black
943,No,White,White
944,No,Black,Black
945,No,White,White
946,No,White,White
947,No,White,White
948,No,Black,Black
949,No,Black,Black
950,No,White,White
951,No,Black,Black
952,No,Black,Black
953,No,Black,Black
954,No,Black,Black
955,No,White,Black
956,No,Black,Black
957,No,White,Black
958,No,White,Black
959,No,White,White
960,No,Black,Black
961,No,White,White
962,No,Black,Black
963,No,Black,Black
964,No,White,White
965,No,Black,White
966,No,White,White
967,No,Black,Black
968,No,White,White
969,No,White,White
970,No,Black,Black
971,No,Black,Black
972,No,White,White
973,No,Black,Black
974,No,White,White
975,No,White,Black
976,No,White,White
977,No,Black,Black
978,No,Black,Black
979,No,White,White
980,No,Black,White
981,No,Black,Black
982,No,White,White
983,No,White,White
984,No,Black,Black
985,No,Black,Black
986,No,Black,Black
987,No,White,White
988,No,White,White
989,No,Black,Black
990,No,Black,Black
991,No,Black,Black
992,No,White,White
993,No,Black,Black
994,No,Black,Black
995,No,Black,Black
996,Yes,White,White
997,No,White,White
998,No,Black,Black
999,No,Black,Black
1000,No,White,Black
1001,No,Black,White
1002,Yes,White,White
1003,No,White,White
1004,No,White,White
1005,No,White,Black
1006,No,Black,Black
1007,No,Black,Black
1008,No,White,White
1009,No,Black,Black
1010,No,Black,White
1011,No,Black,Black
1012,No,Black,Black
1013,No,Black,Black
1014,No,White,White
1015,No,Black,Black
1016,No,White,White
1017,No,Black,Black
1018,No,Black,Black
1019,No,White,White
1020,No,Black,Black
1021,No,White,White
1022,No,White,White
1023,No,White,White
1024,No,Black,Black
1025,Yes,White,Black
1026,No,Black,Black
1027,No,White,White
1028,No,White,White
1029,No,Black,Black
1030,No,Black,Black
1031,No,White,White
1032,No,White,Black
1033,No,Black,Black
1034,No,Black,Black
1035,No,Black,Black
1036,No,Black,Black
1037,No,White,White
1038,No,White,White
1039,No,Black,Black
1040,No,White,White
1041,No,Black,Black
1042,No,White,White
1043,No,White,White
1044,No,Black,Black
1045,No,Black,Black
1046,No,Black,Black
1047,No,Black,Black
1048,No,Black,Black
1049,No,Black,Black
1050,No,Black,Black
1051,No,White,White
1052,No,Black,Black
1053,No,Black,Black
1054,No,White,White
1055,No,Black,Black
1056,No,White,White
1057,No,Black,White
1058,No,Black,Black
1059,No,Black,Black
1060,No,White,Black
1061,No,White,Black
1062,No,Black,Black
1063,No,White,White
1064,Yes,Black,White
1065,No,Black,Black
1066,No,White,White
1067,Yes,White,White
1068,No,Black,Black
1069,No,White,Black
1070,No,Black,Black
1071,No,Black,Black
1072,No,Black,Black
1073,No,Black,Black
1074,No,Black,Black
1075,No,White,Black
1076,No,White,White
1077,No,White,White
1078,No,Black,Black
1079,No,Black,Black
1080,No,Black,Black
1081,No,Black,Black
1082,No,Black,Black
1083,No,Black,Black
1084,No,Black,Black
1085,No,Black,Black
1086,No,Black,Black
1087,No,White,White
1088,No,Black,Black
1089,No,White,White
1090,No,White,Black
1091,No,White,White
1092,No,Black,Black
1093,No,White,White
1094,No,Black,Black
1095,No,Black,Black
1096,No,White,Black
1097,No,White,White
1098,No,White,White
1099,No,White,White
1100,Yes,Black,White
1101,No,White,White
1102,No,Black,Black
1103,No,White,White
1104,No,White,White
1105,No,Black,Black
1106,No,White,White
1107,No,Black,Black
1108,No,White,White
1109,No,White,White
1110,No,White,White
1111,No,White,White
1112,No,White,White
1113,No,Black,Black
1114,No,White,White
1115,No,Black,Black
1116,No,Black,Black
1117,No,White,White
1118,No,White,White
1119,No,Black,Black
1120,No,White,Black
1121,No,White,Black
1122,No,Black,Black
1123,No,Black,Black
1124,No,Black,Black
1125,No,White,Black
1126,No,Black,Black
1127,No,Black,Black
1128,No,Black,White
1129,No,Black,Black
1130,No,Black,Black
1131,No,Black,Black
1132,No,Black,Black
1133,No,White,Black
1134,No,White,Black
1135,No,White,White
1136,No,Black,Black
1137,No,Black,Black
1138,No,Black,Black
1139,No,Black,White
1140,No,White,White
1141,No,Black,Black
1142,No,Black,Black
1143,No,Black,Black
1144,No,White,Black
1145,No,White,Black
1146,No,White,White
1147,No,White,White
1148,No,White,White
1149,No,White,White
1150,No,Black,Black
1151,No,Black,Black
1152,No,Black,Black
1153,No,Black,Black
1154,No,Black,Black
1155,No,White,Black
1156,Yes,White,White
1157,No,Black,Black
1158,No,White,White
1159,No,Black,Black
1160,No,White,White
1161,No,White,White
1162,No,Black,Black
1163,No,White,White
1164,No,Black,Black
1165,No,White,White
1166,No,White,White
1167,No,Black,Black
1168,No,Black,Black
1169,No,White,White
1170,No,Black,Black
1171,No,White,White
1172,No,Black,Black
1173,No,Black,Black
1174,No,White,White
1175,No,White,White
1176,No,White,White
1177,No,Black,Black
1178,No,White,White
1179,No,White,White
1180,No,Black,White
1181,No,White,White
1182,No,Black,Black
1183,No,White,White
1184,No,White,White
1185,No,Black,Black
1186,No,White,Black
1187,No,White,Black
1188,No,White,White
1189,No,Black,Black
1190,No,Black,White
1191,No,Black,Black
1192,No,Black,Black
1193,No,White,White
1194,No,Black,Black
1195,No,White,White
1196,No,Black,Black
1197,No,Black,Black
1198,No,White,White
1199,No,White,White
1200,No,Black,White
1201,No,White,Black
1202,No,Black,Black
1203,No,Black,Black
1204,No,White,White
1205,No,White,White
1206,No,Black,Black
1207,Yes,Black,White
1208,No,White,White
1209,No,Black,Black
1210,No,White,White
1211,No,Black,Black
1212,No,Black,Black
1213,No,White,Black
1214,No,Black,Black
1215,No,Black,Black
1216,No,White,White
1217,No,White,White
1218,No,White,White
1219,No,Black,White
1220,No,White,White
1221,No,Black,Black
1222,No,White,Black
1223,No,Black,Black
1224,No,White,White
1225,No,White,White
1226,No,White,White
1227,No,Black,Black
1228,No,White,White
1229,No,Black,Black
1230,No,White,White
1231,No,Black,Black
1232,No,Black,Black
1233,No,Black,Black
1234,No,Black,Black
1235,No,Black,Black
1236,No,White,White
1237,No,Black,Black
1238,No,Black,Black
1239,No,Black,Black
1240,No,White,White
1241,Yes,Black,Black
1242,No,White,White
1243,No,Black,Black
1244,No,White,White
1245,No,Black,Black
1246,No,White,White
1247,No,White,White
1248,No,Black,Black
1249,No,Black,Black
1250,No,Black,Black
1251,No,Black,Black
1252,No,Black,Black
1253,No,Black,Black
1254,No,White,White
1255,No,White,White
1256,No,Black,Black
1257,No,White,White
1258,No,Black,Black
1259,No,Black,Black
1260,No,White,White
1261,No,Black,Black
1262,No,Black,Black
1263,No,Black,Black
1264,No,Black,Black
1265,No,White,Black
1266,No,White,White
1267,No,Black,Black
1268,No,White,Black
1269,No,Black,Black
1270,No,Black,Black
1271,No,White,White
1272,No,White,Black
1273,No,Black,Black
1274,No,Black,Black
1275,No,Black,Black
1276,No,Black,Black
1277,No,White,Black
1278,No,Black,Black
1279,No,Black,Black
1280,Yes,Black,White
1281,No,Black,Black
1282,Yes,Black,White
1283,No,White,Black
1284,No,Black,Black
1285,No,Black,Black
1286,No,White,White
1287,No,Black,Black
1288,No,White,White
1289,No,Black,Black
1290,No,White,White
1291,No,White,White
1292,No,Black,Black
1293,No,Black,Black
1294,No,Black,Black
1295,No,White,White
1296,No,Black,Black
1297,Yes,Black,White
1298,No,Black,Black
1299,No,Black,Black
1300,No,White,White
1301,No,Black,Black
1302,No,Black,Black
1303,Yes,Black,White
1304,No,White,White
1305,No,White,White
1306,No,Black,Black
1307,No,White,White
1308,No,Black,Black
1309,No,White,Black
1310,Yes,Black,White
1311,No,White,White
1312,No,Black,Black
1313,No,White,Black
1314,No,Black,Black
1315,No,Black,Black
1316,No,Black,Black
1317,No,White,White
1318,No,Black,Black
1319,No,White,White
1320,No,White,Black
1321,No,White,White
1322,No,Black,Black
1323,Yes,Black,Black
1324,No,White,White
1325,No,White,Black
1326,No,Black,Black
1327,No,Black,Black
1328,No,Black,Black
1329,No,White,White
1330,No,White,White
1331,No,Black,Black
1332,No,White,White
1333,No,Black,Black
1334,No,White,White
1335,No,White,Black
1336,No,White,White
1337,No,Black,Black
1338,No,Black,Black
1339,No,Black,Black
1340,No,White,Black
1341,No,Black,Black
1342,No,Black,Black
1343,No,White,White
1344,No,White,White
1345,No,White,White
1346,No,White,White
1347,No,White,Black
1348,No,White,White
1349,Yes,Black,White
1350,No,Black,Black
1351,No,Black,Black
1352,No,Black,Black
1353,No,Black,Black
1354,No,White,White
1355,No,Black,Black
1356,No,White,White
1357,No,Black,Black
1358,No,White,White
1359,No,Black,Black
1360,No,Black,Black
1361,No,Black,Black
1362,No,White,White
1363,No,Black,Black
1364,No,Black,Black
1365,No,Black,Black
1366,No,White,White
1367,No,Black,Black
1368,No,Black,Black
1369,No,Black,Black
1370,No,White,Black
1371,No,Black,Black
1372,No,White,White
1373,No,Black,Black
1374,No,Black,Black
1375,No,White,White
1376,No,White,White
1377,No,White,White
1378,No,Black,Black
1379,No,Black,Black
1380,No,White,White
1381,No,White,White
1382,No,Black,Black
1383,No,White,White
1384,No,Black,Black
1385,Yes,Black,Black
1386,Yes,Black,Black
1387,No,White,White
1388,No,Black,Black
1389,No,White,White
1390,No,Black,Black
1391,No,Black,White
1392,No,Black,Black
1393,No,White,Black
1394,No,White,Black
1395,No,Black,Black
1396,No,Black,Black
1397,No,Black,Black
1398,No,Black,Black
1399,No,White,White
1400,No,White,White
1401,No,Black,White
1402,No,White,White
1403,No,White,White
1404,No,Black,Black
1405,No,Black,Black
1406,No,Black,Black
1407,No,White,Black
1408,No,White,White
1409,No,Black,Black
1410,No,Black,Black
1411,No,White,White
1412,No,White,White
1413,No,White,White
1414,No,Black,Black
1415,No,Black,Black
1416,No,Black,White
1417,No,White,Black
1418,No,Black,Black
1419,Yes,White,White
1420,No,White,Black
1421,No,White,Black
1422,No,White,White
1423,No,White,White
1424,No,Black,Black
1425,No,Black,Black
1426,No,Black,Black
1427,No,White,Black
1428,No,Black,Black
1429,No,White,White
1430,No,Black,Black
1431,No,White,White
1432,No,Black,Black
1433,No,White,White
1434,No,Black,Black
1435,No,White,Black
1436,Yes,Black,Black
1437,No,Black,Black
1438,No,Black,Black
1439,No,Black,Black
1440,No,White,White
1441,Yes,Black,Black
1442,No,Black,Black
1443,No,Black,Black
1444,No,White,White
1445,No,White,White
1446,No,Black,Black
1447,No,Black,Black
1448,No,Black,Black
1449,Yes,Black,White
1450,No,White,White
1451,No,White,White
1452,No,White,White
1453,No,Black,Black
1454,No,Black,Black
1455,No,Black,Black
1456,No,Black,Black
